"Vendor Name","Reference Number","Contract Date","Description of Work","Start Date","End Date","Delivery Date","Contract Value","Comments","Fiscal Year","Quarter"
"Skyridge Systems Inc","CP00067","2004-03-15","0472  Information technology consultants","2004-03-15","2005-03-15","","39,675.00","","2003-2004","4th Quarter"
"Adecco Employment Services Ltd","05MO-002","2004-04-01","0813  Temporary Help Services","2004-04-01","2004-08-19","","12,687.50","","2004-2005","1st Quarter"
"Adecco Employment Services Ltd","05MLO-004","2004-04-01","0813  Temporary Help Services","2004-04-01","2004-08-19","","21,375.00","","2004-2005","1st Quarter"
"Anthony Macauley Associates","GXSUPPORT","2004-04-01","0472  Information technology consultants","2004-04-01","2005-03-31","","74,750.00","","2004-2005","1st Quarter"
"Bristol Group","125COM013","2004-04-01","0351  Communications Professional Services not Elsewhere Specified","2004-04-01","2004-04-30","","10,540.42","","2004-2005","1st Quarter"
"Bristol Group","125COM021","2004-04-01","0351  Communications Professional Services not Elsewhere Specified","2004-04-01","2004-05-31","","12,075.00","","2004-2005","1st Quarter"
"Corporate Research Associates","3X001-040008/001/CY","2004-04-01","0341  Communications Research Services","2004-04-01","2004-05-31","","12,075.00","","2004-2005","1st Quarter"
"Deloitte & Touche","125IAB006","2004-04-01","0499  Other Professional Services not Elsewhere Specified","2004-04-01","2005-03-31","","19,725.00","","2004-2005","1st Quarter"
"Equifax Canada Inc.","1ACOA/6142","2004-04-01","0859  Other Business Services not Elsewhere Specified","2004-04-01","2004-06-01","","20,000.00","","2004-2005","1st Quarter"
"ExcelHR","05MLO-001","2004-04-01","0813  Temporary Help Services","2004-04-01","2004-08-19","","10,875.00","","2004-2005","1st Quarter"
"ExcelHR","05MLO-002","2004-04-01","0813  Temporary Help Services","2004-04-01","2004-08-19","","19,500.00","","2004-2005","1st Quarter"
"Grant Thornton LLP","125IAB011B","2004-04-01","0499  Other Professional Services not Elsewhere Specified","2004-04-01","2005-03-31","","19,412.00","","2004-2005","1st Quarter"
"Grant Thornton LLP","125IAB011","2004-04-01","0499  Other Professional Services not Elsewhere Specified","2004-04-01","2005-03-31","","19,808.75","","2004-2005","1st Quarter"
"Hiscock-Pinsent Consultants","5ENVO5001","2004-04-01","0499  Other Professional Services not Elsewhere Specified","2004-04-01","2005-03-31","","62,500.00","","2004-2005","1st Quarter"
"KPMG LLP","125IAB005","2004-04-01","0499  Other Professional Services not Elsewhere Specified","2004-04-01","2005-03-31","","11,500.00","","2004-2005","1st Quarter"
"Mike Hosford","105Hosford","2004-04-01","0499  Other Professional Services not Elsewhere Specified","2004-04-01","2005-03-31","","100,000.00","","2004-2005","1st Quarter"
"Priority Personnel Inc.","P0500105","2004-04-01","0813  Temporary Help Services","2004-04-01","2004-08-20","","13,846.15","","2004-2005","1st Quarter"
"Quantum Management Services Ltd","05MLO-003","2004-04-01","0813  Temporary Help Services","2004-04-01","2004-08-19","","18,735.00","","2004-2005","1st Quarter"
"IMP Group Limited","CP00056","2004-04-05","0472  Information technology consultants","2004-04-05","2004-05-31","","47,840.00","","2004-2005","1st Quarter"
"General Motors of Canada Limited","P0500001","2004-04-14","1261  Road Motor Vehicles","","","2004-06-16","23,171.92","","2004-2005","1st Quarter"
"Maritime Language Center Inc.","125COM017","2004-04-15","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2004-04-19","2004-11-30","","51,472.80","","2004-2005","1st Quarter"
"Xwave","CP00006","2004-04-16","0472  Information technology consultants","2004-04-16","2004-08-31","","63,750.00","","2004-2005","1st Quarter"
"Atlantic Canada World Trade Centre & Market Access International Canada Inc.","2004-10","2004-04-19","0499  Other Professional Services not Elsewhere Specified","2004-04-26","2005-03-31","","71,300.00","","2004-2005","1st Quarter"
"Equifax Canada Inc.","1ACOA/6142","2004-04-21","0859  Other Business Services not Elsewhere Specified","2004-06-02","2004-12-31","","20,000.00","","2004-2005","1st Quarter"
"Fsg Consulting Inc.","3X004-05-0228","2004-04-21","0491  Management Consulting","2004-04-21","2004-07-31","","11,500.00","","2004-2005","1st Quarter"
"Xwave","CP00004","2004-04-21","0491  Management Consulting","2005-05-01","2006-04-30","","45,540.00","","2004-2005","1st Quarter"
"Xwave","CP00003","2004-04-21","0491  Management Consulting","2004-05-01","2005-04-30","","48,300.00","","2004-2005","1st Quarter"
"Qunara Inc.","CP00008","2004-04-26","0472  Information technology consultants","2004-04-26","2004-06-30","","20,700.00","","2004-2005","1st Quarter"
"Consortia","125MEP006","2004-04-27","0499  Other Professional Services not Elsewhere Specified","2004-04-30","2004-10-30","","69,989.00","","2004-2005","1st Quarter"
"Deloitte & Touche LLP","125MBM011","2004-04-28","0499  Other Professional Services not Elsewhere Specified","2004-04-28","2004-06-30","","25,000.00","","2004-2005","1st Quarter"
"CGI Information Systems and Mgmt Consultants","CP00014","2004-04-29","0472  Information technology consultants","2004-04-30","2004-05-31","","10,470.00","","2004-2005","1st Quarter"
"CGI Information Systems and Mgmt Consultants","CP00011","2004-04-29","0472  Information technology consultants","2004-04-30","2004-05-31","","13,212.50","","2004-2005","1st Quarter"
"CGI Information Systems and Mgmt Consultants","CP00015","2004-04-29","0472  Information technology consultants","2004-04-30","2004-06-30","","15,437.50","","2004-2005","1st Quarter"
"The Conference Board of Canada","105CONF-03","2004-05-01","0859  Other Business Services not Elsewhere Specified","2004-05-01","2005-04-30","","28,248.00","","2004-2005","1st Quarter"
"Spherion","4-0013","2004-05-03","0813  Temporary Help Services","2004-05-06","2004-07-30","","12,678.75","","2004-2005","1st Quarter"
"Pinsent Management Consulting Inc.","3X004-05-0239","2004-05-04","0401  Accounting and Audit Services","2004-05-17","2004-08-31","","21,275.00","","2004-2005","1st Quarter"
"Hickling-Arthurs-Low","125EVAL013","2004-05-05","0401  Accounting and Audit Services","2004-07-15","2004-10-29","","84,316.00","","2004-2005","1st Quarter"
"Maritime Language Center Inc.","P0500252","2004-05-05","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2004-05-10","2004-10-08","","33,535.00","","2004-2005","1st Quarter"
"Softchoice","P0500270","2004-05-05","1228  Computer software","","","2004-06-24","37,260.00","","2004-2005","1st Quarter"
"Softchoice","P0500271","2004-05-05","1228  Computer software","","","2004-06-28","55,396.65","","2004-2005","1st Quarter"
"Softchoice","P0500274","2004-05-05","1228  Computer software","","","2004-06-08","190,091.55","","2004-2005","1st Quarter"
"Spherion","ECO95-040001/003/MCT","2004-05-05","0813  Temporary Help Services","2004-05-17","2005-03-31","","29,266.50","","2004-2005","1st Quarter"
